blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
1413108,4/27/2016 11:34,0x0b200e23ac58db24091671818b32879a4b8710d73e140b692d93a6401cda32af,10,0x59f9845bcd38202a68a2eaf4b8f30db17bfaecf2e4ba3b37e3db92b00a46cc99,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0xa6bdc31c431b8f97848c9d60cbbe9660dc450eb7,2.20E+20,0,121000,20000000000,21000,21000,0x,17145093
1526631,5/16/2016 7:57,0xf311562ed3d85ef8ccf82094b082ae4fa30bfb5cae4ded51ea391d0f3d74f3b6,11,0x9b4af7756aeb70961713974702f211d22ae3a09645ea2147329a4336c34bfb22,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0x8034b9da62217c8f10dcc6b16e1134d46eb89f48,1.60E+20,0,121000,21300979334,21000,21000,0x,17031570
1581099,5/25/2016 8:52,0xe026d5a719f371a5f3df526a9d18bb30dff869c30de3c75884c21481361ec3fe,12,0xfa1a051209582ce441f9289818fe81cb27edbf54ca239499979381574d449e2d,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0x8034b9da62217c8f10dcc6b16e1134d46eb89f48,1.79E+20,0,121000,20000000000,21000,21000,0x,16977102
1611675,5/30/2016 10:42,0xa8c7322f9f6da3e3ffccaa33f84a250f93e8d9dfd81a45b094e74a74b0ce28e6,13,0x48e867672fda11c016ec9b56d3b54531b6af03d3c2a2306f91c85f9befe236b3,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0x8034b9da62217c8f10dcc6b16e1134d46eb89f48,7.30E+19,16,121000,20000000000,21000,381392,0x,16946526
1629045,6/2/2016 8:10,0xe7e887a5ad7e7ec8af273a821d324605af1de585c1011dd62edb2160ae4c24a5,14,0x896f372e92617e8541f2d41ad4a382d91473a8b35772914db6fc6c48455d38b7,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0x8034b9da62217c8f10dcc6b16e1134d46eb89f48,9.60E+19,9,121000,20000000000,21000,210000,0x,16929156
1653431,6/6/2016 9:19,0x19846a2c6c62c0261e74b20700cfb7c42fd34786fb543bc1150d0020776b392e,15,0xdcf0d1482e5e8c164f04fad4b9ce3283162b9ee9bffd30b2a13c71d82bd2d995,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0x8034b9da62217c8f10dcc6b16e1134d46eb89f48,1.20E+20,17,121000,20000000000,21000,486651,0x,16904770
1702149,6/14/2016 10:35,0x72d1496dcb1fd91ed01b99aaf13c4d9b7a2e2f2853013e6a8e8810f077d38bff,16,0x3a39cd1c5e6699ac3e0f180eecea5ec558a4f4e0ca041fdf46572227cb0129f1,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0x8034b9da62217c8f10dcc6b16e1134d46eb89f48,3.50E+20,0,121000,20000000000,21000,21000,0x,16856052
1716018,6/16/2016 17:51,0x0a7bc3e87b018c5a59ff548ec2b992c7c3383d71153aaebb80f16d7becf6f825,913,0x20b660e85c180d3817daa09a292dc9f9e4f2468b9b512dfee0ec5e78dccb7fb5,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,6.62E+18,4,90000,20000000000,21000,234000,0x,16842183
1719127,6/17/2016 6:05,0x05046a12908b7219f9865ce000aedb2ae5d5014d8cb5e06ac83037097ad879d6,936,0x67a9d513e7d5e5b9c05117b058f0ecae501026898e85a4927985fe9efe913e6d,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,1.06E+19,8,90000,20455973420,21000,4532486,0x,16839074
1721620,6/17/2016 16:48,0x780652e76718d2ff78f5987080b2c53312d27b72178f188ef21c192741224eb3,948,0xf4a4eb703ac796ff2a513486e5e740fb4c68b8ce1af5db1df6aa2338beff715d,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,4.18E+18,10,90000,21399288854,21000,287778,0x,16836581
1723771,6/18/2016 1:29,0xe00abf5fa83a4b23ee1cc7f07f9dda04ab5fa5efe358b315df8b76699a83efc4,3155,0xc2c2207bcaf341eed07f984c9a90b3f8e8bdbdbd2ac6562f8c2f5bfa4b51299d,0x3763e6e1228bfeab94191c856412d1bb0a8e6996,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,1.31E+19,5,90000,22655598156,21000,126000,0x,16834430
1727090,6/18/2016 15:00,0xd5a779346d499aa722f72ffe7cd3c8594a9ddd91eb7e439e8ba92ceb7bc86928,3267,0xc0cff378c3446b9b22d217c2c5f54b1c85b89a632c69c55b76cdffe88d2b9f4d,0x3763e6e1228bfeab94191c856412d1bb0a8e6996,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,1.15E+19,20,90000,20000000000,21000,3806725,0x,16831111
1730337,6/19/2016 3:50,0xceaffdb3766d2741057d402738eb41e1d1941939d9d438c102fb981fd47a87a4,3344,0x3a52d28b8587d55c621144a161a0ad5c37dd9f7d63b629ab31da04fa410b2cfa,0x3763e6e1228bfeab94191c856412d1bb0a8e6996,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,9.78E+18,1,90000,20000000000,21000,60788,0x,16827864
1733479,6/19/2016 16:05,0x720d79bf78775f82b40280aae5abfc347643c5f6708d4bf4ec24d65cd01c7121,3367,0x9928661e7ae125b3ae0bcf5e076555a3ee44c52ae31bd6864c9c93a6ebb3f43e,0x3763e6e1228bfeab94191c856412d1bb0a8e6996,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,1.57E+18,0,90000,20000000000,21000,21000,0x,16824722
1734172,6/19/2016 18:54,0x7a062d25b83bafc9fe6b22bc6f5718bca333908b148676e1ac66c0adeccef647,1016,0x8a8afe2b446713db88218553cfb5dd202422928e5e0bc00475ed2f37d95649de,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,6.32E+18,4,90000,20000000000,21000,105333,0x,16824029
1737276,6/20/2016 7:00,0xa4e89bfaf075abbf48f96700979e6c7e11a776b9040113ba64ef9c29ac62b19b,1024,0xe117cad73752bb485c3bef24556e45b7766b283229180fcabc9711f3524b9f79,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,9.98E+18,35,90000,20000000000,21000,3187163,0x,16820925
1740314,6/20/2016 19:17,0x6e1a22dcc6e2c77a9451426fb49e765c3c459dae88350e3ca504f4831ec20e8a,1051,0x588d17842819a81afae3ac6644d8005c12ce55ddb66c8d4c202caa91d4e8fdbe,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,8.06E+18,6,90000,22926905859,21000,153077,0x,16817887
1743384,6/21/2016 7:28,0xdbfcc15f02269fc3ae27f69e344a1ac4e08948b12b76ebdd78a64d8cafd511ef,1068,0x997245108c84250057fda27306b53f9438ad40978a95ca51d8fd7477e73fbaa7,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,9.54E+18,2,90000,20000000000,21000,119650,0x,16814817
1746405,6/21/2016 19:42,0xbd4f9602f7fff4b8cc2ab6286efdb85f97fa114a43f6df4e6abc88e85b89e97b,1092,0x3af3966cdaf22e8b112792ee2e0edd21ceb5a0e7bf9d8c168a40cf22deb3690c,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,8.43E+18,0,90000,25689279306,21000,21000,0x,16811796
1749459,6/22/2016 7:54,0x28c327f462cc5013d81c8682c032f014083c6891938a7bdeee85a1c02c3e9ed4,1096,0x5fc5d2a903977b35ce1239975ae23f9157d45d7bd8a8f6205e8ce270000797f9,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,1.03E+19,1,90000,20000000000,21000,42000,0x,16808742
1752614,6/22/2016 20:09,0xc3849e550ca5276d7b3c51fa95ad3ae62c1c164799d33f4388fe60c4e1d4f7d8,1118,0x88ef054b98e47504332609394e15c0a4467f84042396717af6483f0bcd916127,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,1.13E+19,11,90000,20000000000,21000,252000,0x,16805587
1755659,6/23/2016 8:18,0xb9f891b7c3d00fcd64483189890591d2b7b910eda6172e3bf3973c5fd3d5a5ae,1133,0x2983972217a91343860415d1744c2a55246a297c4810908bbd3184785bc9b0c2,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,1.32E+19,14,90000,20000000000,21000,2674679,0x,16802542
1758709,6/23/2016 20:27,0xd6cce5b184dc7fce85f305ee832df647a9c4640b68e9b79b6f74dc38336d5622,1147,0x1660de1e73067251be0109d267a21ffc7d5bde21719a3664c7045c32e771ecf9,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,9.76E+18,1,90000,20000000000,21000,42000,0x,16799492
1761783,6/24/2016 8:43,0xd01545872629956867cbd65fdf5e97d0dde1a112c12e76a1bfc92048d37f650f,1169,0x7576961afa4218a3264addd37a41f55c444dd534e9410dbd6f93f7fe20e0363e,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,1.02E+19,2,90000,20000000000,21000,63000,0x,16796418
1764895,6/24/2016 20:54,0x620b91b12af7aac75553b47f15742e2825ea38919cfc8082c0666f404a0db28b,1186,0x2e687643becd3c36e0c396a02af0842775e17ccefa0904de5aeca0a9a1aa795e,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,8.69E+18,7,90000,20000000000,21000,168000,0x,16793306
1767936,6/25/2016 9:08,0x758efa27576cd17ebe7b842db4892eac6609e3962a4f9f57b7c84b7b1909512f,1211,0xb01d8fd47b3554a99352ac3e5baf5524f314cfbc4262afcfbea1467b2d682898,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,1.19E+19,0,90000,20000000000,21000,21000,0x,16790265
1770911,6/25/2016 21:08,0x9d84470b54ab44b9074b108a0e506cd8badf30457d221e595bb68d63e926b865,1212,0x79a9de39276132dab8bf00dc3e060f0e8a14f5e16a0ee4e9cc491da31b25fe58,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,1.09E+19,0,90000,20000000000,21000,21000,0x,16787290
1774044,6/26/2016 9:23,0x958d85270b58b80f1ad228f716bbac8dd9da7c5f239e9f30d8edeb5bb9301d20,1240,0x69cee390378c3b886f9543fb3a1cb2fc97621ec155f7884564d4c866348ce539,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,9.98E+18,2,90000,20000000000,21000,63000,0x,16784157
1777057,6/26/2016 21:27,0xe76ca3603d2f4e7134bdd7a1c3fd553025fc0b793f3fd2a75cd206b8049e74ab,1248,0xc7cacda0ac38c99f1b9bccbeee1562a41781d2cfaa357e8c7b4af6a49584b968,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,4.56E+18,7,90000,20000000000,21000,168000,0x,16781144
1780120,6/27/2016 9:39,0xc5ec8cecdc9f5ed55a5b8b0ad79c964fb5c49dc1136b6a49e981616c3e70bbe6,1266,0xfc0e066e5b613239e1a01e6d582e7ab162ceb3ca4f719dfbd1a0c965adcfe1c5,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,1.19E+19,1,90000,20000000000,21000,42000,0x,16778081
1783255,6/27/2016 21:51,0x0a1d0dc376117461fa2b2e6a430983717d5bc3595daedfdb7ec40a742e084a01,1290,0xa0e186a11de916d6216b7e8ba59d650602b708c5d17afb8d06c0626059de16b3,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,6.99E+18,0,90000,20000000000,21000,21000,0x,16774946
1786296,6/28/2016 10:04,0xa2746ae02bd8cef2a0f279d352caff377557a48099bac8bbab59c5664332cb98,1307,0xe0c7f7f40f78121ac351dcf62a237b985fd331adc06edde9babbd41ab942b198,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,5.51E+18,8,90000,20000000000,21000,405507,0x,16771905
1789382,6/28/2016 22:16,0xef39db7337c6d10523a8b678bf101443d3e0e36fcf4b8d34f2739292069456c0,1323,0xcea1a57a18ce6f16369125c69e3eb9d0e4970df92fa485be6be2450864fb1962,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,9.63E+18,15,90000,20000000000,21000,336000,0x,16768819
1792437,6/29/2016 10:30,0x5f531d6b223f1fdfa5ae80df6ff3c0932b311edc7464ca5a9f2f25afe5e845b2,1346,0xbf696ff710e24727f358cbf7543733f1e4ef8ce51b043dd8bd04469586a0e780,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,7.76E+18,0,90000,20000000000,21000,21000,0x,16765764
1792471,6/29/2016 10:40,0x341b775c3df63f60924275c7ee26f5865c2e55fecec3fc31fc5c6728d3e361e0,3072,0x6f8189ecc215d65227f3c5dafe0582dc3b2e32d5583135d62be113c75ea17eb5,0x40ce7569d555dbf939e58867be78fd76142df821,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,2.24E+18,2,90000,20000000000,21000,63000,0x,16765730
1794235,6/29/2016 17:44,0x487a4ee8d611bcf5b4521060674e5d5e7093d5e8755a1d4a6bf6fbba8503ac90,3181,0x912909d95cb38bd8978ba9b6b3cc2591f015156cc3d7f95b5eb751af1052c826,0x40ce7569d555dbf939e58867be78fd76142df821,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,4.23E+18,10,90000,20000000000,21000,332958,0x,16763966
1795904,6/30/2016 0:21,0xa65e880e5c99928fd20cd562752534483bf61047192fed8c68bd2cdc38e44f04,3251,0x5636acb757fac1750c90853a1c0bba66576c1521250f66617f8145d80d756690,0x40ce7569d555dbf939e58867be78fd76142df821,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,6.78E+17,5,90000,20000000000,21000,304963,0x,16762297
1932394,7/22/2016 15:00,0x39f7403304c6203d1865ae46d1ba16d7a93d9d4cf8130ca0608f50236ae82a5c,17,0xa13c8dfd9226a9e91887ae2852ac655731f6c65a455cf0a51f049e39c407e5b6,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0x8034b9da62217c8f10dcc6b16e1134d46eb89f48,1.20E+20,10,121000,20000000000,21000,286057,0x,16625807
2040789,8/9/2016 15:00,0x7b024e3605e14ad4ebbf3eed0dc261b13afd17fceaa2fd2e5554991044753609,18,0xc8e108b9f3512faf3018d28d59a906dd0a129fbc7b9fca775dbaed4653b2cd3b,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0x8034b9da62217c8f10dcc6b16e1134d46eb89f48,5.00E+18,8,121000,20000000000,21000,394570,0x,16517412
2040845,8/9/2016 15:11,0x088089944fae44460d363fb8efa04d509eced2f8d6975dfb46aed320fc399af7,19,0xa13fe8736f27a6fd61c993d8d65441f2fc5515e3b55e8316815ab1fa50adec40,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0x8034b9da62217c8f10dcc6b16e1134d46eb89f48,3.95E+20,50,121000,20000000000,21000,1661824,0x,16517356
2136182,8/25/2016 9:23,0xbc2fb1d9e614eeb6de416e88ad0f3b8a98052313917730c955e0db068ac78d6e,20,0xaa79851611efdebf406e5d6003c88ddc9feb7c44d95b9b8f896845f75d609a4e,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0x8034b9da62217c8f10dcc6b16e1134d46eb89f48,1.30E+20,19,121000,20000000000,21000,556286,0x,16422019
2196430,9/4/2016 9:05,0xad7ccd6a1311d5ad02262e39035b19bd3927d802506afd8a519e3774e2155c48,21,0x355401b577a51bb14367acedf2d3f57ecc5070fb8be1c682bac8d8f69d7243cc,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0x8034b9da62217c8f10dcc6b16e1134d46eb89f48,5.50E+19,6,121000,20000000000,21000,172978,0x,16361771
2288877,9/19/2016 16:35,0xbf60c024a02a1879ef8de39e77b16f19662873703425bcff7ae44d7bd651811c,22,0x5c55c4cef5702ced2a27ca5adfe1c6a6696098f7e566145826e6cf4bfd6f7fb1,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0x8034b9da62217c8f10dcc6b16e1134d46eb89f48,1.00E+20,0,121000,20000000000,21000,21000,0x,16269324
2326119,9/25/2016 19:35,0xfa85381dfebdaa6ee18e9db84382ef1dcb1dc3fe663a5e4360918f36e854cc18,4055,0x6ae530b3c474f31a7d90e870ac61445011014f20ef9a8c0491aa0c577eea87fe,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,2.22E+18,3,300000,40000000000,21000,85900,0x,16232082
2338897,9/27/2016 23:10,0xc7ea3c2ff4e56a657707e34f2bccbe38e4505a77dbf0ece9e1545244efe51544,4070,0xa7a2397d334067558cff6deea71fbda2002d0c7194cfd9cca54739e3c4974949,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,1.73E+18,17,300000,30000000000,21000,495824,0x,16219304
2342195,9/28/2016 11:45,0x117d90a11d9b2526cf7deebfb6c89e8ee8bc48c7b48a9ed4cfbcafc2948f5b69,4101,0xae3a31d3e143a68ceba55db5e04aac78af322f1a97adeb1334f36faa85fbdcd4,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,1.25E+18,2,300000,32000000000,21000,85260,0x,16216006
2342962,9/28/2016 14:51,0x47a39bd1978dad36cd4ec6090f8d7f6df50210d0e7b7a061fede834c93342e01,23,0xb2d431084c9e07217f4dbb570ddcfe6daacd249cd6f74c2b3bfe3b6fbacd5c01,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0x62b890c68ff0d644acbab2298cbd33cc752ffc99,4.49E+18,3,121000,20000000000,21000,493993,0x,16215239
2344711,9/28/2016 21:59,0x87a30ba362e10154013d820f004c7f602d3200b6e14f0aab2b06cbe07a1a1469,4127,0x3888004f555f5c90df61c6e09a654c1fbf438437d26c4003e1c08e5f6906de79,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,5.72E+17,2,940000,30197875502,21000,63000,0x,16213490
2347485,9/29/2016 8:47,0x80f192935fefa315058d3d975cb567bd1c29e29b1323bc7683efe1505f12e952,24,0x79ff1a141965eefbcd60deb46893ec57a3f0e23f7f48bc56ccb3c2b4a435f0f9,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0x62b890c68ff0d644acbab2298cbd33cc752ffc99,5.70E+17,8,121000,20000000000,21000,221600,0x,16210716
2412853,10/10/2016 5:49,0x06e9e86eab5219476d92b4cdc6b0c3b4b04f4bdca85552c15f64ed131997690a,4412,0x808d9a9ebba0670d325db77fab720ea7fe73887196ec9572fefb9604a1d7b002,0x16545fb79dbee1ad3a7f868b7661c023f372d5de,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,4.49E+18,1,940000,21633091935,21000,42000,0x,16145348
2467800,10/19/2016 8:05,0x448fd70c8d7167702d6ef31a26b6bf709e0cc3c11f2eb2ec97a92ea9311c8274,36770,0x2cae2a8e56ec9671a2e3127f0fb171a581515980dbf6932a81cdea258036764e,0x6c7f03ddfdd8a37ca267c88630a4fee958591de0,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,3.91E+17,3,100000,20000000000,21000,104645,0x,16090401
2499138,10/24/2016 12:40,0x26d2dcca674cf744bda7038e13bd04ad86ffc0c2c31f1bec0e20de050d11b602,25,0x64d2a27008a04cb438142a04260d47513fe5f0e3b2ca422c82a75ce48318b83d,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,,0x8034b9da62217c8f10dcc6b16e1134d46eb89f48,1.50E+20,6,121000,23212487395,21000,147000,0x,16059063
2582608,11/7/2016 11:22,0x74baeae85ebc00aab51d3228700cd53a8269d74613920ce50857a62083a06fc5,3,0xb50373a09f3cb9514018071bcfe52e2cb593534a07a3eceb5efc5a270c51a59d,0xbb000589544300afa63c27d5178d89f373d8655d,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,4.50E+19,12,121000,19999840000,21000,581484,0x,15975593
2650282,11/18/2016 15:13,0xbad2725868666bb8ad67ee71ddc92dde692d245c2a29811a2bd0cea381216fa7,51473,0xaf34ba3187fed6d3a1592143c51517d05e6b459334940a70c674a6370658fe2f,0x6c7f03ddfdd8a37ca267c88630a4fee958591de0,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,7.42E+17,19,940000,20000000000,21000,812239,0x,15907919
2650688,11/18/2016 16:46,0x85c7a580cedd9dadbd0a7517356aa1f9b4d260eafa0921467702984323b4765f,51491,0x1813132b85b953950209054a180d3d90f9a02dba79aec202f26e760f8a0f571a,0x6c7f03ddfdd8a37ca267c88630a4fee958591de0,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,5.20E+17,18,940000,20000000000,21000,578635,0x,15907513
2650813,11/18/2016 17:17,0x82028dfa65cb7861b889ccc358b8b3edebaccbdb917f9e3d2e5b052d2a428af9,51516,0x96db59fc0833fb4c1d84c44a0b8358e18712034191c14e3405fe128e990a538a,0x6c7f03ddfdd8a37ca267c88630a4fee958591de0,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,8.29E+17,29,940000,20000000000,21000,881262,0x,15907388
2650939,11/18/2016 17:45,0x1333a5133b57095856133d593516542f1e1d66efd791948cbff2d97558625223,51541,0xaf0164477ce16f00538ccd1f19152fa35f91c82ca36899fa5bf9e16df542c705,0x6c7f03ddfdd8a37ca267c88630a4fee958591de0,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,2.69E+17,29,940000,21000000000,21000,841760,0x,15907262
2651089,11/18/2016 18:22,0xdd0704992d9bace83c8298452bf41e13c7610a54488cf39962e42dec3113bb1b,51565,0xc601387a19069d97a3ac1ad7418d6c53cafe8c5623695b52d19db33f8e9b0652,0x6c7f03ddfdd8a37ca267c88630a4fee958591de0,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,1.00E+18,28,940000,21000000000,21000,760341,0x,15907112
2651324,11/18/2016 19:14,0xb0e3d2af749a40cfcb653926235f9f905e7b257efbf0b02d6d84c5465cf98a4c,51594,0xc83fe21b64df79987f615bdc5551c07b488e212828285bf9f151a4c4a1824d2f,0x6c7f03ddfdd8a37ca267c88630a4fee958591de0,,0x9dd134d14d1e65f84b706d6f205cd5b1cd03a46b,4.08E+17,29,940000,21000000000,21000,1023340,0x,15906877
